name,brand,category,subcategory,gender,price,currency,color,material,sizes,description,product_url,photo_url
"Kookla Бланка","Kookla","dresses","Пышная со шлейфом","female","113000","RUB","Айвори","Тафта","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Бланка — это воплощение королевской элегантности и романтической драмы. Его пышный силуэт, напоминающий бальное платье, создает величественный образ, а корсетный лиф с нежным фигурным сердечком, полностью расшитый сияющим жемчугом и бисером, подчеркивает изящество фигуры.","https://domvesta.ru/catalog/svadebnye-platya/kookla-blanka/","https://domvesta.ru/upload/resize_cache/iblock/570/qsl2xlkc3yb8awdcfbytbcscqpnbjg71/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta6291.jpg"
"Domvesta Хлоя","Domvesta","dresses","Короткая","female","123800","RUB","Айвори","Атлас, кружево","Можно уточнить по телефону +7 (495) 191-18-16","Это роскошное свадебное платье создано для невесты, которая хочет выглядеть эффектно, смело и безупречно стильно. Корсетный лиф с прозрачной основой и изящной косточковой структурой подчёркивает талию и формирует выразительный силуэт, а чашечки с деликатной отделкой добавляют образу чувственности и утончённого шарма. Тонкие бретели и аккуратный вырез гармонично балансируют между соблазнительностью и элегантностью. Атласная юбка украшена драпировкой в области бедер. Высокий разрез спереди добавля","https://domvesta.ru/catalog/svadebnye-platya/chloe-with-bolero-bbiamo/","https://domvesta.ru/upload/resize_cache/iblock/31c/h3u932xjle4zxfz4fv8b20rd2r1ehm9e/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9277.jpg"
"Vintage Дива","Vintage","dresses","Пышная со шлейфом","female","90500","RUB","Айвори","Тафта","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Дива — это пример театральной роскоши и драматической элегантности, созданное для невесты, которая мечтает о бальном образе с акцентом на фактуру. Его пышная юбка из плотной струящейся тафты, выполнена в технике ручного плиссе, создавая величественный, архитектурный силуэт и невероятную игру света и тени при движении. Корсет с деликатной драпировкой подчеркивает изящество талии и груди, а открытые плечи придают образу утонченности. Шнуровка на спине позволяет идеально подогнать ","https://domvesta.ru/catalog/svadebnye-platya/vintage-diva/","https://domvesta.ru/upload/resize_cache/iblock/bff/5xr21knl9ui1u8y88fznpe3u6fxnah6s/900_900_199a1baf496a0de0a1b3152c72c5d9378/171025vesta_368.jpg"
"Vintage Анита","Vintage","dresses","Длинная со шлейфом","female","118000","RUB","Айвори","","Можно уточнить по телефону +7 (495) 191-18-16","Превосходное свадебное платье, созданное для настоящей королевы вечера. Приталенный силуэт подчеркивает фигуру, а тончайшее кружево, расшитое изящными узорами, придаёт образу воздушность и романтику. Глубокий V-образный вырез с мягким декором из кружева делает акцент на зоне декольте, добавляя женственности. Длинные рукава, выполненные из прозрачного кружева, создают эффект невесомости, в то время как облегающий крой переходит в изящный шлейф, плавно струящийся по полу. Это платье — сочетание эл","https://domvesta.ru/catalog/svadebnye-platya/anita-vintage-anita/","https://domvesta.ru/upload/resize_cache/iblock/e69/qu3239zmn6sowsrp91u10v14k68d13t2/900_900_199a1baf496a0de0a1b3152c72c5d9378/056-_Dom-Vesty.JPG"
"Ave Dress Мартиник","Ave Dress","dresses","Длинная","female","51300","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Мартиник имеет облегающий, прямой силуэт из струящегося атласа, который подчеркивает изящество фигуры, плавно переходя в небольшой шлейф. Главный акцент сделан на лифе: высокий воротник-стойка переходит в открытую спину, обнажая плечи и лопатки, что придает образу невероятную грацию. Деликатная драпировка на талии и бедрах создает утонченный силуэт и подчеркивает женственные изгибы. Дополнить свадебный ансамбль можно с помощью кинематографичный высоких перчаток в тон платью, кот","https://domvesta.ru/catalog/svadebnye-platya/ave-martinique/","https://domvesta.ru/upload/resize_cache/iblock/9af/mz3y5cdvjrk737ckvr6hcx2otr9myq7k/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta_2246.jpg"
"Marry Mark Дорлис","Marry Mark","dresses","Пышная со шлейфом","female","95800","RUB","Айвори","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Глубокий V-образный вырез лифа, обрамлённый тончайшим кружевом и мерцающими бусинами, деликатно подчёркивает зону декольте, создавая интригующий и элегантный акцент. Длинные полупрозрачные рукава, расшитые утончёнными узорами и блёстками, придают образу воздушность и загадочность, а их манжеты, украшенные жемчужными нитями, добавляют нотку винтажного гламура. Дизайн модели выгодно акцентирует плечи: ниспадающие жемчужные нити создают эффект бахромы, придавая платью динамичность и роскошь. Высоки","https://domvesta.ru/catalog/svadebnye-platya/doloris/","https://domvesta.ru/upload/resize_cache/iblock/b12/ognirsw7q1a71n9bpxe9tpnq42osop0l/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta5727.jpg"
"Domvesta Фэй","Domvesta","dresses","Длинная со шлейфом","female","57800","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Платье представлено в прямом силуэте, который мягко облегает фигуру, подчеркивая ее изящные линии. Основной материал — струящийся атлас молочного оттенка, который придает платью роскошный блеск и плавность движений. Лиф платья выполнен в стиле бельевого корсета с тонкими бретелями. Деликатный вырез-каре в зоне декольте дополняется эффектом легкой драпировки. Верхний край лифа украшен тонким кружевом, добавляющим образу нежности и шарма. Лиф имеет легкое облегание, обеспечивая комфорт и естествен","https://domvesta.ru/catalog/svadebnye-platya/fey-blammobiamo/","https://domvesta.ru/upload/resize_cache/iblock/ab4/h5f0bzxz0wqr2hgjfa9qr44nvnfmejb2/900_900_199a1baf496a0de0a1b3152c72c5d9378/DOMVESTA_9079.jpg"
"Domvesta Лайза-Муза","Domvesta","dresses","А-образная","female","68800","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Шикарное свадебное платье с длинными рукавами, созданное для невест, согласных только на самое элегантное решение. Модель выполнена в А-силуэтном крое из атласной ткани. Спущенные рукава полностью покрыты эффектным изящным кружевом. Открытый лиф выгодно акцентирует плечи и ключицы невесты, а открытые лопатки делают образ невесты максимально драматичным и притягательным. Длинная юбка в пол, ниспадающая мягкими складками, завершается небольшим аккуратным шлейфом. Достаточно лишь маленьких акцентов","https://domvesta.ru/catalog/svadebnye-platya/laiza-muse/","https://domvesta.ru/upload/resize_cache/iblock/bd0/qidnpm3m5hdidd0r7u1f4h66sm19zx6u/900_900_199a1baf496a0de0a1b3152c72c5d9378/vesta0224_274.jpg"
"Marry Mark Кэт","Marry Mark","dresses","Длинная со шлейфом","female","45100","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье прямого кроя. Центральным элементом дизайна является высокий воротник-стойка, переходящий в изысканную драпировку на лифе, которая создает объем и подчеркивает линию плеч. С одной стороны воротник дополнен длинным, ниспадающим шарфом, придающим образу динамичность и легкость. Спинка платья открыта, а ее изящество подчеркивает тонкая нить жемчуга, которая служит акцентом и добавляет роскоши. Высокий разрез на юбке придает образу дерзости и позволяет продемонстрировать стройные но","https://domvesta.ru/catalog/svadebnye-platya/mmark-kat/","https://domvesta.ru/upload/resize_cache/iblock/2fe/ual1u0th8frei0bb6z70dfm3l6ehimnj/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9209-_1_.jpg"
"Kookla Камилота","Kookla","dresses","Длинная со шлейфом","female","58300","RUB","Айвори","Атлас, кружево","Можно уточнить по телефону +7 (495) 191-18-16","Кружевное платье Камилота представляет собой платье с открытым лифом с бельевой чашкой, расшитой жемчугом, и юбкой из тонкого кружева с подкладкой телесного цвета. Образ может быть дополнен съемным атласным корсетом с роскошным шлейфом и кружевными рукавами. Такое сочетание поможет кардинально менять образы в течение всего свадебного дня. Все детали образа можно приобрести по отдельности: кружевное платье стоит 58 300 рублей, атласный корсет со шлейфом - 53 300 рублей, а рукава - 5 800 рублей. О","https://domvesta.ru/catalog/svadebnye-platya/camilota-kookla/","https://domvesta.ru/upload/resize_cache/iblock/99e/l3b0j5kazmiuqbi22blctyu2rdvpyeak/900_900_199a1baf496a0de0a1b3152c72c5d9378/171025vesta_318.jpg"
