"name","brand","category","subcategory","gender","price","currency","color","material","sizes","description","product_url","photo_url"
"leather disco biker jacket","Philipp Plein","tops","","male","19000","RUB","Black","","","Philipp Plein leather disco biker jacket | Black | Lamb Skin/glass/Polyester/Spandex/Elastane/Polyester | Leather Jackets | Jackets | Clothing | Men","https://www.farfetch.com/de/shopping/men/philipp-plein-leather-disco-biker-jacket-item-18497263.aspx","https://cdn-images.farfetch-contents.com/18/49/72/63/18497263_40698818_1000.jpg"
"CTT 3.1 Chinese high-neck jacket","adidas","tops","","male","13000","RUB","Grey","","","adidas CTT 3.1 Chinese high-neck jacket | Grey | grey | high neck | front toggle fastening | three-stripe detailing to the sleeves | ribbed hem | ribbed cuffs | Fabric | Bomber Jackets | Jackets | Clothing | Men | Bomber Jackets | Jackets | Clothing | Women","https://www.farfetch.com/de/shopping/men/adidas-ctt-31-chinese-high-neck-jacket-item-33792599.aspx","https://cdn-images.farfetch-contents.com/33/79/25/99/33792599_64695140_1000.jpg"
"zip polo shirt","Paul & Shark","tops","","male","29000","RUB","Black","","","Paul & Shark zip polo shirt | Black | black | zip detail | logo detail | short sleeves | ribbed collar | Cotton | Polo Shirts | Clothing | Men","https://www.farfetch.com/de/shopping/men/paul-shark-poloshirt-mit-reiverschluss-item-34693030.aspx","https://cdn-images.farfetch-contents.com/34/69/30/30/34693030_65825524_1000.jpg"
"Swarovski Wreath ""Black"" zip hoodie","Denim Tears","tops","","male","107000","RUB","Black","","","Denim Tears Swarovski Wreath ""Black"" zip hoodie | Black | black | front zip fastening | two front pouch pockets | fitted-cuff sleeves | Cotton/Cashmere | Hoodies | Sweatshirts & Knitwear | Clothing | Men","https://www.farfetch.com/de/shopping/men/denim-tears-swarovski-wreath-black-zip-hoodie-item-29173388.aspx","https://cdn-images.farfetch-contents.com/29/17/33/88/29173388_58258662_1000.jpg"
"cable-knit sweater","Ralph Lauren RRL","tops","","male","102000","RUB","Neutrals","","","Ralph Lauren RRL cable-knit sweater | Neutrals | BEIGE | cable knit | ribbed detailing | crew neck | long sleeves | Cotton/Linen/Flax/Silk | Jumpers | Sweatshirts & Knitwear | Clothing | Men","https://www.farfetch.com/de/shopping/men/ralph-lauren-rrl-cable-knit-sweater-item-32699250.aspx","https://cdn-images.farfetch-contents.com/32/69/92/50/32699250_62962447_1000.jpg"
"logo-detail T-shirt","Off-White","tops","","male","80000","RUB","Black","","","Off-White logo-detail T-shirt | Black | black | round neck | short sleeves | Cotton | T-Shirts | T-Shirts & Vests | Clothing | Men","https://www.farfetch.com/de/shopping/men/off-white-logo-detail-t-shirt-item-34913322.aspx","https://cdn-images.farfetch-contents.com/34/91/33/22/34913322_66259408_1000.jpg"
"button polo shirt","Paul & Shark","tops","","male","18000","RUB","Blue","","","Paul & Shark button polo shirt | Blue | blue | button fastening | short sleeves | Silk/Cotton | Polo Shirts | Clothing | Men","https://www.farfetch.com/de/shopping/men/paul-shark-poloshirt-mit-knopfleiste-item-34693017.aspx","https://cdn-images.farfetch-contents.com/34/69/30/17/34693017_65819973_1000.jpg"
"Lior box-pleat wide-leg trousers","Manière De Voir","tops","","male","17000","RUB","Black","","","Manière De Voir Lior box-pleat wide-leg trousers | Black | black | pleated-details | slash pockets | straight hem | Polyester/Wool/Rayon/Spandex/Elastane | Wide-Leg Trousers | Tailored Trousers | Trousers | Clothing | Men","https://www.farfetch.com/de/shopping/men/maniere-de-voir-lior-box-pleat-wide-leg-trousers-item-31167531.aspx","https://cdn-images.farfetch-contents.com/31/16/75/31/31167531_60359302_1000.jpg"
"logo-patch jeans","DSQUARED2","tops","","male","153000","RUB","Black","","","DSQUARED2 logo-patch jeans | Black | black | whiskering effect | front button fastening | classic five pockets | logo patch to the rear | Cotton/Elastane | Regular & Straight-Leg Jeans | Denim | Clothing | Men","https://www.farfetch.com/de/shopping/men/dsquared2-logo-patch-jeans-item-30211923.aspx","https://cdn-images.farfetch-contents.com/30/21/19/23/30211923_59252592_1000.jpg"
"drawstring-fastening patterned swim shorts","SANDRO","tops","","male","53000","RUB","Grey","","","SANDRO drawstring-fastening patterned swim shorts | Grey | dark grey | patterned | drawstring fastening | elasticated waistband | back patch pocket | Be mindful to try on swimwear over your own garments. | Polyamide/Polyester | Swim Shorts | Beachwear | Clothing | Men","https://www.farfetch.com/de/shopping/men/sandro-drawstring-fastening-patterned-swim-shorts-item-32553214.aspx","https://cdn-images.farfetch-contents.com/32/55/32/14/32553214_63336855_1000.jpg"
