Сегмент,Компания,Домен,Основной email,Всего email,Статус
A,Aim Clo,aimclo.ru,zabota@aimhome.ru,1,
A,Anna Pekun,annapekun.ru,pr@annapekun.ru,1,
A,Around,around.com.ru,hello@around.com.ru,1,
A,Asia ST71,asiast71.com,pr@asiast71.com,1,
A,BY.BORSCH,byborsch.ru,shop@byborsch.ru,1,игнор
A,BraBra,brabrastore.ru,brabra.pr@gmail.com,1,написала
A,Brusnika,brusnikabrand.com,manager@brusnikabrand.com,1,
A,CORSTORE17,corstore17.ru,,0,
A,Charmstore,charmstore.club,,0,
A,ELEN DAN,elendan.ru,elendanonline@gmail.com,1,
A,Emka,emkashop.ru,sale@emkashop.ru,1,
A,Engibar,engibarr.ru,hello@engibar.ru,1,
A,FRHT,frht.ru,pr@frht.ru,1,
A,Fashion Rebels,fashionrebels.ru,pr@fashionrebels.ru,1,
A,Gapanovich,gapanovich.com,shop@sashagapanovich.ru,1,
A,Gate31,gate31.ru,pr@gate31.ru,1,
A,HASS,hass-shop.ru,info@hass-shop.ru,1,
A,IGLA,iglaclothes.ru,,0,
A,Ivolga,ivolga.moscow,support@ivolga.moscow,1,
A,Jana Segetti,"сделай им сайт, нетю",,0,
A,Krakatau,ru.krakatauwear.com,lx@krakatauwear.com,2,
A,LBD,,,0,
A,LUSIO,lusio.ru,osmanova@lusio.ru,2,
A,Lapatanova Clothes,lapatanova.com,elapatanova@yandex.ru,1,
A,Larne,larne.ru,,0,
A,Lesyanebo,lesyanebo.com,pr@lesyanebo.com,1,
A,Mirstores,mirstores.ru,pr@mirstores.ru,1,
A,Murashka,murashkaofficial.com,store@murashkaofficial.com,1,написала по вопросам сотрудничества
A,My812,my812.ru,mail@my812.store,1,
A,Otocyon,otocyon.ru,otocyonclothing@gmail.com,1,
A,PASSOUT,passout.ru,,0,написала
A,PNS,popnshop.ru,info@popnshop.ru,1,
A,Planta Rosa,planta-rosa.com,office@planta-rosa.com,1,
A,Present & Simple,presentandsimple.com,hello@presentandsimple.com,1,
A,Pítkina,pitkina.com,pr@pitkina.ru,1,
A,RAPIER,rapiershop.com,rapier.shop@yandex.ru,1,написала по сотрудничеству в инст
A,Roseville,roseville.ru,eshop@roseville.ru,1,
A,SHU Шью,shuclothes.com,brand@shuclothes.ru,2,сказали писать на почту
A,Selfmade,selfmade.ru,pr@selfmade.ru,1,
A,Sorelle Era,sorelleera.ru,info@sorelleera.ru,1,
A,Studio 29,studio-29.ru,idea@studio-29.ru,1,
A,TERI,teri-shop.com,pr.mashatert@mail.ru,1,
A,True Red,truered.ru,,0,
A,Ushatava,ushatava.ru,pr1@ushatava.com,1,
A,VALIRI STREET,valiristreet.ru,,0,
A,Vatnique,vatnique.com,shopvatnique@gmail.com,1,написала
A,Walk of Shame,walkofshame.ru,,0,
A,You Wanna,you-wanna.ru,,0,написала
A,the.puh,thepuh.ru,info@thepuh.ru,1,игнор
A,Аутло,outlaw.ru,outlaw@outlaw.ru,1,написала
B,16/8,sixteentheight.ru,,0,
B,AMÚRES,amures.ru,amures.atelier@gmail.com,1,
B,ANASTASIYA BOKSHA,anastasiyaboksha.ru,anastasiyaboksha@mail.ru,1,
B,ANTI-BRIDE Place,antibride-place.ru,info@antibride-place.ru,1,
B,Arina Boganova,arinaboganova.ru,arinaboganova.tm@gmail.com,1,
B,Blanche Moscow,blanchebridal.ru,,0,
B,Gabbiano,gabbiano.ru,mail@gabbiano.ru,1,
B,Jully Bride,jullybride.ru,jully.bride@yandex.ru,1,написал
B,L'avenir boutique,lavenirboutique.com,kabo76@mail.ru,1,
B,Love Forever,salon-love-forever.ru,hello@salon-love.ru,1,
B,Mega Day,mega-day.ru,info@mega-day.ru,1,
B,OSIVOPA TATIANA ATELIER,osipovatatiana.ru,,0,написала
B,Odetta wedding,odettawedding.ru,margaret-timofeeva@mail.ru,1,
B,PRIMA BRIDAL,primabridal.ru,welcome@primabridal.ru,1,
B,Perle,perlebridal.ru,perlebridal@gmail.com,1,
B,Rasario Bridal,therasario.ru,orderonline@therasario.com,1,
B,Seashell,seashell-wedding.ru,seashell.wedding@mail.ru,1,написала по сотрд
B,TATYANA KOCHNOVA ATELIER,tatyanakochnova.com,pr@tatyanakochnova.com,2,
B,Vesna Wedding,vesnawedding.ru,vesnaweddingmsk@gmail.com,1,
B,Victoriya,victoriya-salon.ru,info@victoriya-salon.ru,1,
B,Vita Brava,vitabrava.ru,mail@vitabrava.ru,1,
B,Vivabride,vivabride.ru,,0,написал
B,Wedding by Mercury,weddingbymercury.ru,weddingbymercury@mfashion.ru,1,
B,Аврора,awsalon.ru,,0,
B,Анастасия Сутырина,sutyrinawedding.com,opt@sutyrinawedding.com,2,
B,Анна Кузнецова,kuznetcova.com,info@kuznetcova.com,1,
B,Ваниль,vanilastudio.ru,pr@vanilastudio.ru,1,
B,Дом Весты,domvesta.ru,domvesta1@domvesta.ru,1,
B,Кристи Веддинг,christiwedding.ru,,0,написала по вопр сотр
B,Люспойт,luspoyt.ru,,0,по вопросам сотрудничества молчат
B,Моншери,monsheri.ru,info@monsheri.ru,1,"игнор после видео, запроса о цене нет"
B,Моя свадьба,moya-svadba-msk.ru,info@moya-svadba-msk.ru,1,написал
B,Мэри Трюфель,marytrufel.ru,pr@marytrufel.ru,1,
B,Николь,nicolewedding.ru,info@nicolewedding.ru,1,
B,"Свадебный Дом ""Кураж""",kuraje.ru,,0,написал
B,Флоринтини,weddywood.ru,,0,
C,1811,1811stores.com,,0,
C,2 FACE,2face.store,2face_on@inbox.ru,1,игнор
C,2mood,2moodstore.com,ceo@2mood.com,1,
C,All we need,allweneed.ru,a.izotova@allweneed.ru,3,
C,Befree,befree.ru,,0,написал
C,Brandshop,brandshop.ru,store@brandshop.ru,1,написал
C,Love Republic,loverepublic.ru,,0,
C,MISS 38,miss-38.ru,,0,
C,SPECIFICA STORE,specificastore.ru,info@specificastore.ru,1,написал
C,Sela,sela.ru,selapr@melonfashion.com,1,
C,TOPTOP,toptop.ru,marketing@toptop.ru,1,
C,Zarina,zarina.ru,zarinapr@melonfashion.com,1,
C,beshopping,beshopping.me,,0,
C,idol,idol.ru,help@idol.ru,1,
C,kixbox,kixbox.ru,onlineforward@kixbox.com,1,
C,Стокманн,stockmann.ru,partners@stockmann.ru,1,
